{'start_at': '2020-01-06 00:00:00', 'end_at': '2020-01-07 00:00:00', 'session time': 41.87683296203613, 'num of subs': 186, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 41.27601885795593, 'persisted submissions in': 0.6006348133087158}
{'start_at': '2020-01-07 00:00:00', 'end_at': '2020-01-08 00:00:00', 'session time': 42.19393992424011, 'num of subs': 315, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 41.25823903083801, 'persisted submissions in': 0.9355461597442627}
{'start_at': '2020-01-01 00:00:00', 'end_at': '2020-01-02 00:00:00', 'session time': 0.2973470687866211, 'num of subs': 103, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.0017778873443603516, 'persisted submissions in': 0.2949380874633789}
{'start_at': '2020-01-02 00:00:00', 'end_at': '2020-01-03 00:00:00', 'session time': 0.7847590446472168, 'num of subs': 270, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.0012731552124023438, 'persisted submissions in': 0.7834048271179199}
{'start_at': '2020-01-03 00:00:00', 'end_at': '2020-01-04 00:00:00', 'session time': 0.8038079738616943, 'num of subs': 274, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.002089977264404297, 'persisted submissions in': 0.8015480041503906}
{'start_at': '2020-01-04 00:00:00', 'end_at': '2020-01-05 00:00:00', 'session time': 0.3681459426879883, 'num of subs': 122, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.0021250247955322266, 'persisted submissions in': 0.36585187911987305}
{'start_at': '2020-01-05 00:00:00', 'end_at': '2020-01-06 00:00:00', 'session time': 0.3266618251800537, 'num of subs': 112, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 0.0020821094512939453, 'persisted submissions in': 0.324429988861084}
{'start_at': '2020-01-08 00:00:00', 'end_at': '2020-01-09 00:00:00', 'session time': 42.347283363342285, 'num of subs': 329, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 41.26982498168945, 'persisted submissions in': 1.0773038864135742}
{'start_at': '2020-01-09 00:00:00', 'end_at': '2020-01-10 00:00:00', 'session time': 44.25304317474365, 'num of subs': 295, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 43.245885133743286, 'persisted submissions in': 1.007054090499878}
{'start_at': '2020-01-10 00:00:00', 'end_at': '2020-01-11 00:00:00', 'session time': 42.90707612037659, 'num of subs': 224, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 42.18287396430969, 'persisted submissions in': 0.7240469455718994}
{'start_at': '2020-01-11 00:00:00', 'end_at': '2020-01-12 00:00:00', 'session time': 46.72226405143738, 'num of subs': 123, 'num of comments': 0, 'fetched comments in': None, 'persisted comments in': None, 'fetched submissions in': 46.302924156188965, 'persisted submissions in': 0.41916799545288086}
